nameOfIssuer/__text,titleOfClass/__text,cusip/__text,value/__text,shrsOrPrnAmt/sshPrnamt/__text,shrsOrPrnAmt/sshPrnamtType/__text,investmentDiscretion/__text,votingAuthority/Sole/__text,votingAuthority/Shared/__text,votingAuthority/None/__text
ISHARES TR,3 7 YR TREAS BD,464288661,144075,1250,SH,SOLE,0,0,1250
ISHARES TR,BROAD USD HIGH,46435U853,106880,3028,SH,SOLE,0,0,3028
ISHARES TR,CORE HIGH DV ETF,46429B663,2143703,21269,SH,SOLE,0,0,21269
ISHARES TR,CORE MSCI EAFE,46432F842,6486958,96103,SH,SOLE,0,0,96103
ISHARES TR,CORE MSCI TOTAL,46432F834,106141,1695,SH,SOLE,0,0,1695
ISHARES TR,CORE S&P MCP ETF,464287507,31363940,119948,SH,SOLE,0,0,119948
ISHARES TR,CORE S&P SCP ETF,464287804,22955929,230366,SH,SOLE,0,0,230366
ISHARES TR,CORE S&P TTL STK,464287150,1351209,13810,SH,SOLE,0,0,13810
ISHARES TR,CORE S&P US GWT,464287671,1192771,12216,SH,SOLE,0,0,12216
ISHARES TR,CORE S&P US VLU,464287663,116608,1490,SH,SOLE,0,0,1490
ISHARES TR,CORE S&P500 ETF,464287200,29506612,66201,SH,SOLE,0,0,66201
ISHARES TR,CORE US AGGBD ET,464287226,157398,1607,SH,SOLE,0,0,1607
ISHARES TR,CYBERSECURITY,46435U135,54296,1436,SH,SOLE,0,0,1436
ISHARES TR,EAFE GRWTH ETF,464288885,737806,7733,SH,SOLE,0,0,7733
ISHARES TR,EAFE SML CP ETF,464288273,961664,16305,SH,SOLE,0,0,16305
ISHARES TR,EAFE VALUE ETF,464288877,898049,18350,SH,SOLE,0,0,18350
ISHARES TR,ESG AW MSCI EAFE,46435G516,121884,1671,SH,SOLE,0,0,1671
ISHARES TR,ESG AWARE MSCI,46435U663,135438,3813,SH,SOLE,0,0,3813
ISHARES TR,ESG MSCI LEADR,46435U218,99098,1280,SH,SOLE,0,0,1280
ISHARES TR,EXPANDED TECH,464287515,916316,2649,SH,SOLE,0,0,2649
ISHARES TR,GL CLEAN ENE ETF,464288224,16119,876,SH,SOLE,0,0,876
ISHARES TR,GL TIMB FORE ETF,464288174,104921,1463,SH,SOLE,0,0,1463
ISHARES TR,GLB INFRASTR ETF,464288372,1475874,31435,SH,SOLE,0,0,31435
ISHARES TR,GLOB INDSTRL ETF,464288729,24050,200,SH,SOLE,0,0,200
ISHARES TR,GLOBAL 100 ETF,464287572,15212,200,SH,SOLE,0,0,200
ISHARES TR,GLOBAL TECH ETF,464287291,87066,1400,SH,SOLE,0,0,1400
ISHARES TR,IBOXX HI YD ETF,464288513,379329,5053,SH,SOLE,0,0,5053
ISHARES TR,IBOXX INV CP ETF,464287242,148044,1369,SH,SOLE,0,0,1369
ISHARES TR,INDIA 50 ETF,464289529,404550,8982,SH,SOLE,0,0,8982
ISHARES TR,INTL SEL DIV ETF,464288448,525732,19967,SH,SOLE,0,0,19967
ISHARES TR,INTRM GOV CR ETF,464288612,236416,2298,SH,SOLE,0,0,2298
ISHARES TR,ISHARES BIOTECH,464287556,95855,755,SH,SOLE,0,0,755
ISHARES TR,ISHARES SEMICDTR,464287523,11160,22,SH,SOLE,0,0,22
ISHARES TR,ISHS 5-10YR INVT,464288638,4552,90,SH,SOLE,0,0,90
ISHARES TR,JPMORGAN USD EMG,464288281,131724,1522,SH,SOLE,0,0,1522
ISHARES TR,MBS ETF,464288588,24902,267,SH,SOLE,0,0,267
ISHARES TR,MICRO-CAP ETF,464288869,8635,79,SH,SOLE,0,0,79
ISHARES TR,MSCI ACWI ETF,464288257,733558,7646,SH,SOLE,0,0,7646
ISHARES TR,MSCI ACWI EX US,464288240,1225086,24890,SH,SOLE,0,0,24890
ISHARES TR,MSCI EAFE ETF,464287465,7601114,104843,SH,SOLE,0,0,104843
ISHARES TR,MSCI EMG MKT ETF,464287234,2050045,51821,SH,SOLE,0,0,51821
ISHARES TR,MSCI KLD400 SOC,464288570,156388,1858,SH,SOLE,0,0,1858
ISHARES TR,MSCI LW CRB TG,46434V464,399423,2554,SH,SOLE,0,0,2554
ISHARES TR,MSCI UK ETF NEW,46435G334,3268,101,SH,SOLE,0,0,101
ISHARES TR,MSCI USA ESG SLC,464288802,840045,8971,SH,SOLE,0,0,8971
ISHARES TR,MSCI USA MIN VOL,46429B697,11484318,154504,SH,SOLE,0,0,154504
ISHARES TR,MSCI USA MMENTM,46432F396,196088,1359,SH,SOLE,0,0,1359
ISHARES TR,MSCI USA QLT FCT,46432F339,2540585,18837,SH,SOLE,0,0,18837
ISHARES TR,MSCI USA SMCP MN,46435G433,8300,242,SH,SOLE,0,0,242
ISHARES TR,NATIONAL MUN ETF,464288414,110350,1034,SH,SOLE,0,0,1034
ISHARES TR,PFD AND INCM SEC,464288687,95085,3074,SH,SOLE,0,0,3074
ISHARES TR,RUS 1000 ETF,464287622,10963579,44981,SH,SOLE,0,0,44981
ISHARES TR,RUS 1000 GRW ETF,464287614,2518723,9153,SH,SOLE,0,0,9153
ISHARES TR,RUS 1000 VAL ETF,464287598,2636011,16702,SH,SOLE,0,0,16702
ISHARES TR,RUS 2000 GRW ETF,464287648,566029,2333,SH,SOLE,0,0,2333
ISHARES TR,RUS 2000 VAL ETF,464287630,1318774,9366,SH,SOLE,0,0,9366
ISHARES TR,RUS MD CP GR ETF,464287481,204856,2120,SH,SOLE,0,0,2120
ISHARES TR,RUS MDCP VAL ETF,464287473,3625,33,SH,SOLE,0,0,33
ISHARES TR,RUS MID CAP ETF,464287499,9532464,130528,SH,SOLE,0,0,130528
ISHARES TR,RUS TP200 GR ETF,464289438,2062,13,SH,SOLE,0,0,13
ISHARES TR,RUS TP200 VL ETF,464289420,2024,30,SH,SOLE,0,0,30
ISHARES TR,RUSSELL 2000 ETF,464287655,5351568,28577,SH,SOLE,0,0,28577
ISHARES TR,RUSSELL 3000 ETF,464287689,23295719,91542,SH,SOLE,0,0,91542
ISHARES TR,S&P 100 ETF,464287101,1023291,4942,SH,SOLE,0,0,4942
ISHARES TR,S&P 500 GRWT ETF,464287309,23496580,333379,SH,SOLE,0,0,333379
ISHARES TR,S&P 500 VAL ETF,464287408,16168564,100307,SH,SOLE,0,0,100307
ISHARES TR,S&P MC 400GR ETF,464287606,1677628,22368,SH,SOLE,0,0,22368
ISHARES TR,S&P MC 400VL ETF,464287705,569781,5319,SH,SOLE,0,0,5319
ISHARES TR,S&P SML 600 GWT,464287887,757964,6595,SH,SOLE,0,0,6595
ISHARES TR,SELECT DIVID ETF,464287168,3323602,29335,SH,SOLE,0,0,29335
ISHARES TR,SHORT TREAS BD,464288679,480345,4349,SH,SOLE,0,0,4349
ISHARES TR,SP SMCP600VL ETF,464287879,182193,1916,SH,SOLE,0,0,1916
ISHARES TR,TIPS BD ETF,464287176,26583,247,SH,SOLE,0,0,247
ISHARES TR,U S EQUITY FACTR,46434V282,59622,1338,SH,SOLE,0,0,1338
ISHARES TR,U.S. ENERGY ETF,464287796,34377,802,SH,SOLE,0,0,802
ISHARES TR,U.S. MED DVC ETF,464288810,101233,1793,SH,SOLE,0,0,1793
ISHARES TR,U.S. REAL ES ETF,464287739,339081,3918,SH,SOLE,0,0,3918
ISHARES TR,U.S. TECH ETF,464287721,51501,473,SH,SOLE,0,0,473
ISHARES TR,U.S. UTILITS ETF,464287697,13792,169,SH,SOLE,0,0,169
ISHARES TR,US AER DEF ETF,464288760,36168,310,SH,SOLE,0,0,310
ISHARES TR,US CONSM STAPLES,464287812,135658,677,SH,SOLE,0,0,677
ISHARES TR,US CONSUM DISCRE,464287580,46615,655,SH,SOLE,0,0,655
ISHARES TR,US INDUSTRIALS,464287754,780113,7357,SH,SOLE,0,0,7357
ISHARES TR,US INFRASTRUC,46435U713,3761,96,SH,SOLE,0,0,96
ISHARES TR,US REGNL BKS ETF,464288778,37506,1108,SH,SOLE,0,0,1108
ISHARES TR,US TREAS BD ETF,46429B267,19649,858,SH,SOLE,0,0,858
ISHARES TR,USD GRN BOND ETF,46435U440,80369,1727,SH,SOLE,0,0,1727
ISHARES TR,USD INV GRDE ETF,464288620,2806,56,SH,SOLE,0,0,56
ISHARES U S ETF TR,BLACKROCK ST MAT,46431W507,152790,3073,SH,SOLE,0,0,3073
ITT INC,COM,45073V108,28523,306,SH,SOLE,0,0,306
IZEA WORLDWIDE INC,COM NEW,46604H204,1457,602,SH,SOLE,0,0,602
J P MORGAN EXCHANGE TRADED F,BETABUILDERS CDA,46641Q225,125400,2047,SH,SOLE,0,0,2047
J P MORGAN EXCHANGE TRADED F,BETBULD MSCI,46641Q738,12665,150,SH,SOLE,0,0,150
J P MORGAN EXCHANGE TRADED F,EQUITY PREMIUM,46641Q332,52351982,946177,SH,SOLE,0,0,946177
J P MORGAN EXCHANGE TRADED F,NASDAQ EQT PREM,46654Q203,271356,5610,SH,SOLE,0,0,5610
J P MORGAN EXCHANGE TRADED F,ULTRA SHRT INC,46641Q837,14199,283,SH,SOLE,0,0,283
JACOBS SOLUTIONS INC,COM,46982L108,805691,6777,SH,SOLE,0,0,6777
JAMF HLDG CORP,COM,47074L105,29280,1500,SH,SOLE,0,0,1500
JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,1488,12,SH,SOLE,0,0,12
JD.COM INC,SPON ADR CL A,47215P106,373568,10945,SH,SOLE,0,0,10945
JOHN MARSHALL BANCORP INC,COM,47805L101,2009,100,SH,SOLE,0,0,100
JOHNSON & JOHNSON,COM,478160104,13348996,80649,SH,SOLE,0,0,80649
JOHNSON CTLS INTL PLC,SHS,G51502105,113794,1670,SH,SOLE,0,0,1670
JPMORGAN CHASE & CO,ALERIAN ML ETN,46625H365,69280,3024,SH,SOLE,0,0,3024
JPMORGAN CHASE & CO,COM,46625H100,16820441,115652,SH,SOLE,0,0,115652
KARTOON STUDIOS INC.,COM NEW,37229T509,12,6,SH,SOLE,0,0,6
KELLOGG CO,COM,487836108,13548,201,SH,SOLE,0,0,201
KEURIG DR PEPPER INC,COM,49271V100,280399,8967,SH,SOLE,0,0,8967
KEYCORP,COM,493267108,3632593,393138,SH,SOLE,0,0,393138
KEYSIGHT TECHNOLOGIES INC,COM,49338L103,871075,5202,SH,SOLE,0,0,5202
KIMBELL RTY PARTNERS LP,UNIT,49435R102,1471,100,SH,SOLE,0,0,100
KIMBERLY-CLARK CORP,COM,494368103,1422157,10301,SH,SOLE,0,0,10301
KINDER MORGAN INC DEL,COM,49456B101,34010,1975,SH,SOLE,0,0,1975
KINSALE CAP GROUP INC,COM,49714P108,1882,5,SH,SOLE,0,0,5
KIRBY CORP,COM,497266106,5156,67,SH,SOLE,0,0,67
KKR & CO INC,COM,48251W104,1348974,24089,SH,SOLE,0,0,24089
KLA CORP,COM NEW,482480100,151327,312,SH,SOLE,0,0,312
KNIFE RIVER CORP,COMMON STOCK,498894104,957,22,SH,SOLE,0,0,22
KNIGHTSCOPE INC,CLASS A COM,49907V102,588,1106,SH,SOLE,0,0,1106
KONINKLIJKE PHILIPS N V,NY REGIS SHS NEW,500472303,10455,482,SH,SOLE,0,0,482
KONTOOR BRANDS INC,COM,50050N103,548,13,SH,SOLE,0,0,13
KOPIN CORP,COM,500600101,409,190,SH,SOLE,0,0,190
KOSMOS ENERGY LTD,COM,500688106,899,150,SH,SOLE,0,0,150
KRAFT HEINZ CO,COM,500754106,54990,1549,SH,SOLE,0,0,1549
KRANESHARES TR,GLOBAL CARB STRA,500767678,37579,991,SH,SOLE,0,0,991
KRATOS DEFENSE & SEC SOLUTIO,COM NEW,50077B207,1148,80,SH,SOLE,0,0,80
KROGER CO,COM,501044101,327220,6962,SH,SOLE,0,0,6962
KVH INDS INC,COM,482738101,457,50,SH,SOLE,0,0,50
KYNDRYL HLDGS INC,COMMON STOCK,50155Q100,12072,909,SH,SOLE,0,0,909
L3HARRIS TECHNOLOGIES INC,COM,502431109,626269,3199,SH,SOLE,0,0,3199
LABORATORY CORP AMER HLDGS,COM NEW,50540R409,684350,2836,SH,SOLE,0,0,2836
LAM RESEARCH CORP,COM,512807108,1076666,1675,SH,SOLE,0,0,1675
LAMAR ADVERTISING CO NEW,CL A,512816109,275816,2779,SH,SOLE,0,0,2779
LANDSTAR SYS INC,COM,515098101,57762,300,SH,SOLE,0,0,300
LANTHEUS HLDGS INC,COM,516544103,75612,901,SH,SOLE,0,0,901
LAS VEGAS SANDS CORP,COM,517834107,1638558,28251,SH,SOLE,0,0,28251
LAUDER ESTEE COS INC,CL A,518439104,487023,2480,SH,SOLE,0,0,2480
LEAR CORP,COM NEW,521865204,57420,400,SH,SOLE,0,0,400
LEGEND BIOTECH CORP,SPONSORED ADS,52490G102,60540,877,SH,SOLE,0,0,877
LEIDOS HOLDINGS INC,COM,525327102,106176,1200,SH,SOLE,0,0,1200
LEMONADE INC,COM,52567D107,4129,245,SH,SOLE,0,0,245
LENNAR CORP,CL A,526057104,7394,59,SH,SOLE,0,0,59
LEVI STRAUSS & CO NEW,CL A COM STK,52736R102,3247,225,SH,SOLE,0,0,225
LG DISPLAY CO LTD,SPONS ADR REP,50186V102,499,82,SH,SOLE,0,0,82
LI AUTO INC,SPONSORED ADS,50202M102,11636,332,SH,SOLE,0,0,332
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,843,50,SH,SOLE,0,0,50
LI-CYCLE HOLDINGS CORP,COMMON SHARES,50202P105,43845,7900,SH,SOLE,0,0,7900
LIFE STORAGE INC,COM,53223X107,20343,153,SH,SOLE,0,0,153
LIFESTANCE HEALTH GROUP INC,COM,53228F101,3652,400,SH,SOLE,0,0,400
LILLY ELI & CO,COM,532457108,10316808,21998,SH,SOLE,0,0,21998
LINCOLN ELEC HLDGS INC,COM,533900106,13419046,67558,SH,SOLE,0,0,67558
LINCOLN NATL CORP IND,COM,534187109,139225,5405,SH,SOLE,0,0,5405
LINDE PLC,SHS,G54950103,1376517,3612,SH,SOLE,0,0,3612
LISTED FD TR,HORIZON KINETICS,53656F623,72513,2372,SH,SOLE,0,0,2372
LISTED FD TR,ROUNDHILL VIDEO,53656F706,5127,328,SH,SOLE,0,0,328
LIVE NATION ENTERTAINMENT IN,COM,538034109,92,1,SH,SOLE,0,0,1
LOCKHEED MARTIN CORP,COM,539830109,2238530,4862,SH,SOLE,0,0,4862
LORDSTOWN MOTORS CORP,CL A NEW,54405Q209,403,189,SH,SOLE,0,0,189
LOUISIANA PAC CORP,COM,546347105,774,10,SH,SOLE,0,0,10
LOWES COS INC,COM,548661107,5165480,22886,SH,SOLE,0,0,22886
LPL FINL HLDGS INC,COM,50212V100,105019,483,SH,SOLE,0,0,483
LUCID GROUP INC,COM,549498103,10287,1493,SH,SOLE,0,0,1493
LULULEMON ATHLETICA INC,COM,550021109,318697,842,SH,SOLE,0,0,842
LUMEN TECHNOLOGIES INC,COM,550241103,64,28,SH,SOLE,0,0,28
LUMENTUM HLDGS INC,COM,55024U109,372603,6568,SH,SOLE,0,0,6568
LYONDELLBASELL INDUSTRIES N,SHS - A -,N53745100,46099,502,SH,SOLE,0,0,502
M & T BK CORP,COM,55261F104,35272,285,SH,SOLE,0,0,285
M/I HOMES INC,COM,55305B101,2093,24,SH,SOLE,0,0,24
MACYS INC,COM,55616P104,803,50,SH,SOLE,0,0,50
MADISON SQUARE GARDEN ENTMT,COM CL A,558256103,68,2,SH,SOLE,0,0,2
MADISON SQUARE GRDN SPRT COR,CL A,55825T103,377,2,SH,SOLE,0,0,2
MAGNA INTL INC,COM,559222401,46846,830,SH,SOLE,0,0,830
MAGNITE INC,COM,55955D100,2867,210,SH,SOLE,0,0,210
MALIBU BOATS INC,COM CL A,56117J100,1819,31,SH,SOLE,0,0,31
MANULIFE FINL CORP,COM,56501R106,35362,1870,SH,SOLE,0,0,1870
MARATHON DIGITAL HOLDINGS IN,COM,565788106,2079,150,SH,SOLE,0,0,150
MARATHON OIL CORP,COM,565849106,85957,3734,SH,SOLE,0,0,3734
MARATHON PETE CORP,COM,56585A102,414863,3558,SH,SOLE,0,0,3558
MARINEMAX INC,COM,567908108,1708,50,SH,SOLE,0,0,50
MARKEL GROUP INC,COM,570535104,34580,25,SH,SOLE,0,0,25
MARKETAXESS HLDGS INC,COM,57060D108,63546,243,SH,SOLE,0,0,243
MARRIOTT INTL INC NEW,CL A,571903202,286924,1562,SH,SOLE,0,0,1562
MARSH & MCLENNAN COS INC,COM,571748102,1393853,7411,SH,SOLE,0,0,7411
MARTIN MARIETTA MATLS INC,COM,573284106,596504,1292,SH,SOLE,0,0,1292
MARVELL TECHNOLOGY INC,COM,573874104,55788,933,SH,SOLE,0,0,933
MASCO CORP,COM,574599106,18936,330,SH,SOLE,0,0,330
MASIMO CORP,COM,574795100,148260,901,SH,SOLE,0,0,901
MASTERBRAND INC,COMMON STOCK,57638P104,5688,489,SH,SOLE,0,0,489
MASTERCARD INCORPORATED,CL A,57636Q104,6599978,16781,SH,SOLE,0,0,16781
MATADOR RES CO,COM,576485205,838,16,SH,SOLE,0,0,16
MATTERPORT INC,COM CL A,577096100,252,80,SH,SOLE,0,0,80
MCCORMICK & CO INC,COM NON VTG,579780206,86794,995,SH,SOLE,0,0,995
MCDONALDS CORP,COM,580135101,10259915,34382,SH,SOLE,0,0,34382
MCKESSON CORP,COM,58155Q103,421328,986,SH,SOLE,0,0,986
MDU RES GROUP INC,COM,552690109,1843,88,SH,SOLE,0,0,88
MEDPACE HLDGS INC,COM,58506Q109,45152,188,SH,SOLE,0,0,188
MEDTRONIC PLC,SHS,G5960L103,1689352,19175,SH,SOLE,0,0,19175
MERCADOLIBRE INC,COM,58733R102,7108,6,SH,SOLE,0,0,6
MERCK & CO INC,COM,58933Y105,8121666,70384,SH,SOLE,0,0,70384
META PLATFORMS INC,CL A,30303M102,4349039,15155,SH,SOLE,0,0,15155
METLIFE INC,COM,59156R108,36123,639,SH,SOLE,0,0,639
METTLER TOLEDO INTERNATIONAL,COM,592688105,87880,67,SH,SOLE,0,0,67
MFS MUN INCOME TR,SH BEN INT,552738106,2448,480,SH,SOLE,0,0,480
MICROCHIP TECHNOLOGY INC.,COM,595017104,298049,3327,SH,SOLE,0,0,3327
MICRON TECHNOLOGY INC,COM,595112103,2116780,33541,SH,SOLE,0,0,33541
MICROSOFT CORP,COM,594918104,51307013,150664,SH,SOLE,0,0,150664
MICROVAST HOLDINGS INC,COM,59516C106,16,10,SH,SOLE,0,0,10
MIDDLEFIELD BANC CORP,COM NEW,596304204,1312718,48982,SH,SOLE,0,0,48982
MISTER CAR WASH INC,COM,60646V105,2413,250,SH,SOLE,0,0,250
MITEK SYS INC,COM NEW,606710200,1301,120,SH,SOLE,0,0,120
MODERNA INC,COM,60770K107,42282,348,SH,SOLE,0,0,348
MODINE MFG CO,COM,607828100,2385299,72238,SH,SOLE,0,0,72238
MOHAWK INDS INC,COM,608190104,2579,25,SH,SOLE,0,0,25
MOLSON COORS BEVERAGE CO,CL B,60871R209,5531,84,SH,SOLE,0,0,84
MONDELEZ INTL INC,CL A,609207105,951211,13041,SH,SOLE,0,0,13041
MONOLITHIC PWR SYS INC,COM,609839105,257690,477,SH,SOLE,0,0,477
MONSTER BEVERAGE CORP NEW,COM,61174X109,290417,5056,SH,SOLE,0,0,5056
MOODYS CORP,COM,615369105,993784,2858,SH,SOLE,0,0,2858
MORGAN STANLEY,COM NEW,617446448,479863,5619,SH,SOLE,0,0,5619
MOSAIC CO NEW,COM,61945C103,896,26,SH,SOLE,0,0,26
MOTOROLA SOLUTIONS INC,COM NEW,620076307,2562125,8736,SH,SOLE,0,0,8736
MP MATERIALS CORP,COM CL A,553368101,200200,8750,SH,SOLE,0,0,8750
MPLX LP,COM UNIT REP LTD,55336V100,72322,2131,SH,SOLE,0,0,2131
MSCI INC,COM,55354G100,39890,85,SH,SOLE,0,0,85
MUELLER INDS INC,COM,624756102,6808,78,SH,SOLE,0,0,78
MYERS INDS INC,COM,628464109,560809,28863,SH,SOLE,0,0,28863
NABORS INDUSTRIES LTD,SHS,G6359F137,652,7,SH,SOLE,0,0,7
NACCO INDS INC,CL A,629579103,31957,922,SH,SOLE,0,0,922
NANO X IMAGING LTD,ORD SHS,M70700105,553691,35745,SH,SOLE,0,0,35745
NANOVIRICIDES INC,COM,630087302,337,293,SH,SOLE,0,0,293
NASDAQ INC,COM,631103108,121435,2436,SH,SOLE,0,0,2436
NATIONAL BEVERAGE CORP,COM,635017106,9670,200,SH,SOLE,0,0,200
NATIONAL FUEL GAS CO,COM,636180101,10272,200,SH,SOLE,0,0,200
NATIONAL GRID PLC,SPONSORED ADR NE,636274409,31107,462,SH,SOLE,0,0,462
NCINO INC,COM,63947X101,603,20,SH,SOLE,0,0,20
NEOGEN CORP,COM,640491106,4350,200,SH,SOLE,0,0,200
NEOGENOMICS INC,COM NEW,64049M209,483,30,SH,SOLE,0,0,30
NETAPP INC,COM,64110D104,45107,590,SH,SOLE,0,0,590
NETFLIX INC,COM,64110L106,515814,1171,SH,SOLE,0,0,1171
NETGEAR INC,COM,64111Q104,2832,200,SH,SOLE,0,0,200
NEUROCRINE BIOSCIENCES INC,COM,64125C109,44982,477,SH,SOLE,0,0,477
NEW YORK TIMES CO,CL A,650111107,5671,144,SH,SOLE,0,0,144
NEWELL BRANDS INC,COM,651229106,5104,587,SH,SOLE,0,0,587
NEWMONT CORP,COM,651639106,427198,10014,SH,SOLE,0,0,10014
NEXSTAR MEDIA GROUP INC,COMMON STOCK,65336K103,1999,12,SH,SOLE,0,0,12
NEXTERA ENERGY INC,COM,65339F101,2242856,30227,SH,SOLE,0,0,30227
NEXTERA ENERGY PARTNERS LP,COM UNIT PART IN,65341B106,280300,4780,SH,SOLE,0,0,4780
NEXTPLAY TECHNOLOGIES INC,COM NEW,65344G201,117,100,SH,SOLE,0,0,100
NEXTRACKER INC,CLASS A COM,65290E101,13138,330,SH,SOLE,0,0,330
NICE LTD,SPONSORED ADR,653656108,72688,352,SH,SOLE,0,0,352
NIKE INC,CL B,654106103,5128320,46465,SH,SOLE,0,0,46465
NN INC,COM,629337106,239000,100000,SH,SOLE,0,0,100000
NOKIA CORP,SPONSORED ADR,654902204,1901,457,SH,SOLE,0,0,457
NORDSON CORP,COM,655663102,2634037,10613,SH,SOLE,0,0,10613
NORFOLK SOUTHN CORP,COM,655844108,1023590,4514,SH,SOLE,0,0,4514
NORTHERN TR CORP,COM,665859104,159991,2158,SH,SOLE,0,0,2158
NORTHROP GRUMMAN CORP,COM,666807102,3288367,7214,SH,SOLE,0,0,7214
NOVARTIS AG,SPONSORED ADR,66987V109,2308216,22874,SH,SOLE,0,0,22874
NOVOCURE LTD,ORD SHS,G6674U108,1038,25,SH,SOLE,0,0,25
NOVO-NORDISK A S,ADR,670100205,174939,1081,SH,SOLE,0,0,1081
NUCOR CORP,COM,670346105,993391,6058,SH,SOLE,0,0,6058
NUSHARES ETF TR,ESG HI TLD CRP,67092P854,154197,7500,SH,SOLE,0,0,7500
NUSTAR ENERGY LP,UNIT COM,67058H102,5314,310,SH,SOLE,0,0,310
NUTRIEN LTD,COM,67077M108,34249,580,SH,SOLE,0,0,580
NUVEEN MUN VALUE FD INC,COM,670928100,3367,387,SH,SOLE,0,0,387
NUVEEN MUNICIPAL CREDIT INC,COM SH BEN INT,67070X101,14039,1204,SH,SOLE,0,0,1204
NV5 GLOBAL INC,COM,62945V109,77539,700,SH,SOLE,0,0,700
NVIDIA CORPORATION,COM,67066G104,4871698,11516,SH,SOLE,0,0,11516
NXP SEMICONDUCTORS N V,COM,N6596X109,309067,1510,SH,SOLE,0,0,1510
OCCIDENTAL PETE CORP,*W EXP 08/03/202,674599162,107669,2885,SH,SOLE,0,0,2885
OCCIDENTAL PETE CORP,COM,674599105,926630,15759,SH,SOLE,0,0,15759
OCWEN FINL CORP,COM NEW,675746606,142897,4768,SH,SOLE,0,0,4768
OGE ENERGY CORP,COM,670837103,1904,53,SH,SOLE,0,0,53
OKTA INC,CL A,679295105,57630,831,SH,SOLE,0,0,831
OLD DOMINION FREIGHT LINE IN,COM,679580100,15530,42,SH,SOLE,0,0,42
OLD REP INTL CORP,COM,680223104,26328,1046,SH,SOLE,0,0,1046
OLIN CORP,COM PAR $1,680665205,26466,515,SH,SOLE,0,0,515
OLLIES BARGAIN OUTLET HLDGS,COM,681116109,2144,37,SH,SOLE,0,0,37
OMEGA HEALTHCARE INVS INC,COM,681936100,132228,4308,SH,SOLE,0,0,4308
OMNICOM GROUP INC,COM,681919106,303053,3185,SH,SOLE,0,0,3185
ON SEMICONDUCTOR CORP,COM,682189105,8607,91,SH,SOLE,0,0,91
ONEOK INC NEW,COM,682680103,197998,3208,SH,SOLE,0,0,3208
ONTRAK INC,COM,683373104,472,1000,SH,SOLE,0,0,1000
OPEN TEXT CORP,COM,683715106,23268,560,SH,SOLE,0,0,560
OPENDOOR TECHNOLOGIES INC,COM,683712103,6432,1600,SH,SOLE,0,0,1600
OPTION CARE HEALTH INC,COM NEW,68404L201,314991,9695,SH,SOLE,0,0,9695
ORACLE CORP,COM,68389X105,7980541,67013,SH,SOLE,0,0,67013
ORANGE,SPONSORED ADR,684060106,105,9,SH,SOLE,0,0,9
ORASURE TECHNOLOGIES INC,COM,68554V108,401,80,SH,SOLE,0,0,80
OREILLY AUTOMOTIVE INC,COM,67103H107,818693,857,SH,SOLE,0,0,857
ORGANIGRAM HLDGS INC,COM,68620P101,6,13,SH,SOLE,0,0,13
ORGANON & CO,COMMON STOCK,68622V106,20276,974,SH,SOLE,0,0,974
OSI SYSTEMS INC,COM,671044105,58915,500,SH,SOLE,0,0,500
OSISKO GOLD ROYALTIES LTD,COM,68827L101,831,54,SH,SOLE,0,0,54
OTIS WORLDWIDE CORP,COM,68902V107,432037,4854,SH,SOLE,0,0,4854
OUSTER INC,COM NEW,68989M202,2031,411,SH,SOLE,0,0,411
OVINTIV INC,COM,69047Q102,67004,1760,SH,SOLE,0,0,1760
OWENS CORNING NEW,COM,690742101,474368,3635,SH,SOLE,0,0,3635
PACCAR INC,COM,693718108,831420,9939,SH,SOLE,0,0,9939
PACER FDS TR,INDUSTRIAL RELET,69374H766,20350,520,SH,SOLE,0,0,520
PAGERDUTY INC,COM,69553P100,855,38,SH,SOLE,0,0,38
PALANTIR TECHNOLOGIES INC,CL A,69608A108,121935,7954,SH,SOLE,0,0,7954
PALO ALTO NETWORKS INC,COM,697435105,2526994,9890,SH,SOLE,0,0,9890
PARK CITY GROUP INC,COM NEW,700215304,2339,232,SH,SOLE,0,0,232
PARK NATL CORP,COM,700658107,10744,105,SH,SOLE,0,0,105
PARKER-HANNIFIN CORP,COM,701094104,4449699,11408,SH,SOLE,0,0,11408
PASSAGE BIO INC,COM,702712100,71,75,SH,SOLE,0,0,75
PATRICK INDS INC,COM,703343103,116800,1460,SH,SOLE,0,0,1460
PAYCHEX INC,COM,704326107,1687541,15085,SH,SOLE,0,0,15085
PAYCOM SOFTWARE INC,COM,70432V102,6106,19,SH,SOLE,0,0,19
PAYLOCITY HLDG CORP,COM,70438V106,88575,480,SH,SOLE,0,0,480
PAYPAL HLDGS INC,COM,70450Y103,1079692,16180,SH,SOLE,0,0,16180
PELOTON INTERACTIVE INC,CL A COM,70614W100,1685,219,SH,SOLE,0,0,219
PENN ENTERTAINMENT INC,COM,707569109,18071,752,SH,SOLE,0,0,752
PENUMBRA INC,COM,70975L107,1377,4,SH,SOLE,0,0,4
PEPSICO INC,COM,713448108,14744306,79604,SH,SOLE,0,0,79604
PERMIAN BASIN RTY TR,UNIT BEN INT,714236106,2001,80,SH,SOLE,0,0,80
PETMED EXPRESS INC,COM,716382106,1379,100,SH,SOLE,0,0,100
PFIZER INC,COM,717081103,5923269,161485,SH,SOLE,0,0,161485
